week_start,weekly_spend,weekly_conversions,weekly_cpa,prev_week_spend,prev_week_conversions,spend_wow_pct,conversions_wow_pct,alert_flag
2024-03-19,3659.44,103,35.53,18893.71,482.0,-80.6,0.0,Flag — significant swing
2024-03-26,16476.43,467,35.28,3659.44,103.0,350.2,300.0,Flag — significant swing
2024-03-26,3010.75,83,36.27,16476.43,467.0,-81.7,0.0,Flag — significant swing
2024-04-02,17596.41,482,36.51,3010.75,83.0,484.5,400.0,Flag — significant swing
2024-04-02,2916.14,94,31.02,17596.41,482.0,-83.4,0.0,Flag — significant swing
2024-04-09,13402.95,333,40.25,2916.14,94.0,359.6,200.0,Flag — significant swing
2024-04-09,2182.54,58,37.63,13402.95,333.0,-83.7,0.0,Flag — significant swing
2024-04-16,13049.31,298,43.79,2182.54,58.0,497.9,400.0,Flag — significant swing
2024-04-16,3027.45,68,44.52,13049.31,298.0,-76.8,0.0,Flag — significant swing
2024-04-23,15292.43,354,43.2,3027.45,68.0,405.1,400.0,Flag — significant swing
2024-04-23,2193.45,54,40.62,15292.43,354.0,-85.7,0.0,Flag — significant swing
2024-04-30,13500.52,308,43.83,2193.45,54.0,515.5,400.0,Flag — significant swing
2024-04-30,2480.54,62,40.01,13500.52,308.0,-81.6,0.0,Flag — significant swing
2024-05-07,12983.46,290,44.77,2480.54,62.0,423.4,300.0,Flag — significant swing
2024-05-07,2227.32,49,45.46,12983.46,290.0,-82.8,0.0,Flag — significant swing
2024-05-14,12911.63,287,44.99,2227.32,49.0,479.7,400.0,Flag — significant swing
2024-05-14,1527.48,24,63.65,12911.63,287.0,-88.2,0.0,Flag — significant swing
2024-05-21,12447.7,229,54.36,1527.48,24.0,714.9,800.0,Flag — significant swing
2024-05-21,1916.15,40,47.9,12447.7,229.0,-84.6,0.0,Flag — significant swing
2024-05-28,18528.56,397,46.67,1916.15,40.0,867.0,800.0,Flag — significant swing
2024-05-28,3174.53,61,52.04,18528.56,397.0,-82.9,0.0,Flag — significant swing
2024-06-04,16249.33,330,49.24,3174.53,61.0,411.9,400.0,Flag — significant swing
2024-06-04,2490.4,42,59.3,16249.33,330.0,-84.7,0.0,Flag — significant swing
2024-06-11,14329.88,294,48.74,2490.4,42.0,475.4,600.0,Flag — significant swing
2024-06-11,2161.3,71,30.44,14329.88,294.0,-84.9,0.0,Flag — significant swing
2024-06-18,8101.37,150,54.01,2161.3,71.0,274.8,100.0,Flag — significant swing
2024-06-18,1375.08,39,35.26,8101.37,150.0,-83.0,0.0,Flag — significant swing
2024-06-25,10911.95,333,32.77,1375.08,39.0,693.6,700.0,Flag — significant swing
2024-06-25,2460.36,82,30.0,10911.95,333.0,-77.5,0.0,Flag — significant swing
2024-07-02,14964.81,439,34.09,2460.36,82.0,508.2,400.0,Flag — significant swing
2024-07-02,2686.9,71,37.84,14964.81,439.0,-82.0,0.0,Flag — significant swing
2024-07-09,19430.82,600,32.38,2686.9,71.0,623.2,700.0,Flag — significant swing
2024-07-09,3796.17,97,39.14,19430.82,600.0,-80.5,0.0,Flag — significant swing
2024-07-16,21843.6,600,36.41,3796.17,97.0,475.4,500.0,Flag — significant swing
2024-07-16,2824.25,58,48.69,21843.6,600.0,-87.1,0.0,Flag — significant swing
2024-07-23,16452.54,422,38.99,2824.25,58.0,482.5,600.0,Flag — significant swing
2024-07-23,3256.17,73,44.61,16452.54,422.0,-80.2,0.0,Flag — significant swing
2024-07-30,19508.08,469,41.6,3256.17,73.0,499.1,500.0,Flag — significant swing
2024-07-30,3399.53,61,55.73,19508.08,469.0,-82.6,0.0,Flag — significant swing
2024-08-06,16022.31,337,47.54,3399.53,61.0,371.3,400.0,Flag — significant swing
2024-08-06,2173.79,27,80.51,16022.31,337.0,-86.4,0.0,Flag — significant swing
2024-08-13,12531.1,291,43.06,2173.79,27.0,476.5,900.0,Flag — significant swing
2024-08-13,2067.27,46,44.94,12531.1,291.0,-83.5,0.0,Flag — significant swing
2024-08-20,16211.41,331,48.98,2067.27,46.0,684.2,600.0,Flag — significant swing
2024-08-20,3160.63,72,43.9,16211.41,331.0,-80.5,0.0,Flag — significant swing
2024-08-27,17880.06,399,44.81,3160.63,72.0,465.7,400.0,Flag — significant swing
2024-08-27,3014.75,58,51.98,17880.06,399.0,-83.1,0.0,Flag — significant swing
2024-09-03,15762.29,393,40.11,3014.75,58.0,422.8,500.0,Flag — significant swing
2024-09-03,2344.83,61,38.44,15762.29,393.0,-85.1,0.0,Flag — significant swing
2024-09-10,14094.46,405,34.8,2344.83,61.0,501.1,500.0,Flag — significant swing
2024-09-10,2375.96,74,32.11,14094.46,405.0,-83.1,0.0,Flag — significant swing
2024-09-17,12268.52,371,33.07,2375.96,74.0,416.4,400.0,Flag — significant swing
2024-09-17,1948.42,79,24.66,12268.52,371.0,-84.1,0.0,Flag — significant swing
2024-09-24,7651.64,205,37.33,1948.42,79.0,292.7,100.0,Flag — significant swing
2024-09-24,2388.4,140,17.06,7651.64,205.0,-68.8,0.0,Flag — significant swing
2024-10-01,19368.01,581,33.34,2388.4,140.0,710.9,300.0,Flag — significant swing
2024-10-01,3917.56,129,30.37,19368.01,581.0,-79.8,0.0,Flag — significant swing
2024-10-08,23678.29,626,37.82,3917.56,129.0,504.4,300.0,Flag — significant swing
2024-10-08,5142.05,128,40.17,23678.29,626.0,-78.3,0.0,Flag — significant swing
2024-10-15,28720.92,675,42.55,5142.05,128.0,458.5,400.0,Flag — significant swing
2024-10-15,4528.8,133,34.05,28720.92,675.0,-84.2,0.0,Flag — significant swing
2024-10-22,26491.4,606,43.72,4528.8,133.0,485.0,300.0,Flag — significant swing
2024-10-22,4552.98,89,51.16,26491.4,606.0,-82.8,0.0,Flag — significant swing
2024-10-29,21735.54,465,46.74,4552.98,89.0,377.4,400.0,Flag — significant swing
2024-10-29,3529.78,85,41.53,21735.54,465.0,-83.8,0.0,Flag — significant swing
2024-11-05,21063.32,490,42.99,3529.78,85.0,496.7,400.0,Flag — significant swing
2024-11-05,2874.55,99,29.04,21063.32,490.0,-86.4,0.0,Flag — significant swing
2024-11-12,16741.73,371,45.13,2874.55,99.0,482.4,200.0,Flag — significant swing
2024-11-12,2515.91,65,38.71,16741.73,371.0,-85.0,0.0,Flag — significant swing
2024-11-19,13976.31,309,45.23,2515.91,65.0,455.5,300.0,Flag — significant swing
2024-11-19,2095.24,39,53.72,13976.31,309.0,-85.0,0.0,Flag — significant swing
2024-11-26,10175.06,258,39.44,2095.24,39.0,385.6,500.0,Flag — significant swing
2024-11-26,1736.25,40,43.41,10175.06,258.0,-82.9,0.0,Flag — significant swing
2024-12-03,7002.86,149,47.0,1736.25,40.0,303.3,200.0,Flag — significant swing
2024-12-03,1022.07,17,60.12,7002.86,149.0,-85.4,0.0,Flag — significant swing
2024-12-10,4587.71,83,55.27,1022.07,17.0,348.9,300.0,Flag — significant swing
2024-12-10,749.52,12,62.46,4587.71,83.0,-83.7,0.0,Flag — significant swing
2024-12-17,4407.72,52,84.76,749.52,12.0,488.1,300.0,Flag — significant swing
2024-12-17,772.98,11,70.27,4407.72,52.0,-82.5,0.0,Flag — significant swing
2024-12-24,2492.22,26,95.85,772.98,11.0,222.4,100.0,Flag — significant swing
2024-12-24,144.18,1,144.18,2492.22,26.0,-94.2,0.0,Flag — significant swing
2024-12-31,193.53,4,48.38,144.18,1.0,34.2,300.0,Flag — significant swing
