campaign_id,campaign_name,client,channel,objective,budget,total_spend,total_conversions,ctr,cvr,cpa,budget_utilisation_pct,benchmark_cvr,performance_tier
41,Verdant Foods — App Install (Vide) Q4,Verdant Foods,Video,App Install,44829.58,45769.28,876,0.0046,0.0105,52.25,102.1,0.012,Underperforming
14,BlueLine Finance — App Install (Vide) Q4,BlueLine Finance,Video,App Install,20549.14,20298.160000000007,367,0.0041,0.0102,55.31,98.8,0.012,Underperforming
20,Redwood Insurance — App Install (Vide) Q1,Redwood Insurance,Video,App Install,53038.99,54342.33,1033,0.0051,0.01,52.61,102.5,0.012,Underperforming
11,Helix Health — Retargeting (Disp) Q1,Helix Health,Display,Retargeting,14392.98,14010.569999999998,215,0.0026,0.0065,65.17,97.3,0.008,Underperforming
16,Helix Health — Brand Awareness (Disp) Q4,Helix Health,Display,Brand Awareness,15664.81,15681.369999999999,239,0.0028,0.0063,65.61,100.1,0.008,Underperforming
48,Orbit Travel — Retargeting (Disp) Q2,Orbit Travel,Display,Retargeting,14418.73,14895.040000000005,195,0.0026,0.0058,76.38,103.3,0.008,Underperforming
4,Helix Health — Retargeting (Prog) Q2,Helix Health,Programmatic,Retargeting,13433.39,12688.16,202,0.0026,0.0057,62.81,94.5,0.006,On Track
49,NovaSpark Retail — Brand Awareness (Disp) Q4,NovaSpark Retail,Display,Brand Awareness,10790.85,10804.220000000001,140,0.0027,0.0056,77.17,100.1,0.008,Underperforming
44,NovaSpark Retail — Brand Awareness (Prog) Q1,NovaSpark Retail,Programmatic,Brand Awareness,24176.36,21686.999999999996,360,0.0028,0.0054,60.24,89.7,0.006,On Track
25,Helix Health — Retargeting (Disp) Q4,Helix Health,Display,Retargeting,3984.73,4011.54,53,0.003,0.0053,75.69,100.7,0.008,Underperforming
2,Solstice Sports — Brand Awareness (Prog) Q1,Solstice Sports,Programmatic,Brand Awareness,12860.36,10923.479999999998,138,0.003,0.0051,79.16,84.9,0.006,Underperforming
18,BlueLine Finance — Retargeting (Prog) Q1,BlueLine Finance,Programmatic,Retargeting,19871.43,18403.879999999997,253,0.0028,0.0048,72.74,92.6,0.006,Underperforming
38,NovaSpark Retail — Brand Awareness (Prog) Q4,NovaSpark Retail,Programmatic,Brand Awareness,17695.04,15963.720000000001,223,0.0029,0.0047,71.59,90.2,0.006,Underperforming
52,Redwood Insurance — Brand Awareness (Prog) Q1,Redwood Insurance,Programmatic,Brand Awareness,10286.95,9485.41,130,0.0026,0.0047,72.96,92.2,0.006,Underperforming
8,Solstice Sports — Retargeting (Prog) Q3,Solstice Sports,Programmatic,Retargeting,22594.49,20424.979999999992,253,0.0029,0.0044,80.73,90.4,0.006,Underperforming
33,Helix Health — Retargeting (Prog) Q3,Helix Health,Programmatic,Retargeting,20477.01,17895.77,222,0.0025,0.0044,80.61,87.4,0.006,Underperforming
12,Orbit Travel — Brand Awareness (Prog) Q2,Orbit Travel,Programmatic,Brand Awareness,13707.46,12384.499999999998,157,0.0026,0.0043,78.88,90.3,0.006,Underperforming
17,Solstice Sports — Retargeting (Prog) Q2,Solstice Sports,Programmatic,Retargeting,12387.41,11571.34,127,0.0029,0.0041,91.11,93.4,0.006,Underperforming
29,BlueLine Finance — Retargeting (Prog) Q1,BlueLine Finance,Programmatic,Retargeting,9206.02,8581.5,103,0.0026,0.0039,83.32,93.2,0.006,Underperforming
21,Pinnacle Tech — Retargeting (Prog) Q3,Pinnacle Tech,Programmatic,Retargeting,6342.6,5540.829999999999,58,0.003,0.0038,95.53,87.4,0.006,Underperforming
47,Crestwood Media — Retargeting (Prog) Q2,Crestwood Media,Programmatic,Retargeting,8289.44,7541.390000000001,77,0.0028,0.0038,97.94,91.0,0.006,Underperforming
43,Pinnacle Tech — Brand Awareness (Prog) Q4,Pinnacle Tech,Programmatic,Brand Awareness,5200.47,4706.629999999998,43,0.0024,0.0032,109.46,90.5,0.006,At Risk
46,Solstice Sports — Brand Awareness (Prog) Q4,Solstice Sports,Programmatic,Brand Awareness,5721.65,5174.710000000002,41,0.0026,0.0027,126.21,90.4,0.006,At Risk
